Lesson Five: Verbs 3

English             Turkish
to know           = bilmek
I know            = biliyorum

to think          = düşünmek
I am thinking     = düşünüyorum

to look           = bakmak
I am looking      = bakıyorum
Look!             = Bak!

to come           = gelmek
I am coming       = geliyorum

to want           = istemek
I want            = istiyorum

to use            = kullanmak
I am using        = kullanıyorum

to work           = çalışmak
I am working      = çalışıyorum

to find           = bulmak
I found it        = buldum

to happen         = olmak
what is happening = ne oluyor
what happened     = ne oldu 

to leave (or go)  = gitmek
they are leaving  = gidiyorlar

to begin          = başlamak
It is beginning   = başlıyor

to finish         = bitirmek
It is ending      = bitiyor
