Welcome to Level Three! Happy learning

Lesson One: Verbs 2
English                Turkish
to learn             = öğrenmek
I am learning        = öğreniyorum

to ask               = sormak
I am asking          = soruyorum

to wait              = beklemek
Wait!                = Bekleyin!
I am waiting         = bekliyorum

to do                = yapmak (also to make)
I am making          = yapıyorum

to buy               = almak (also to get)
I am buying          = alıyorum

to speak             = konuşmak
I am speaking        = konuşuyorum

to say (or sing)     = söylemek
I am singing         = söylüyorum

to play              = oynamak
Children are playing = çocuklar oynuyorlar

to go to bed         = yatmak
I am going to bed    = yatıyorum

to sit               = oturmak
I am sitting         = oturuyorum

to love              = sevmek
I love               = seviyorum

to wear              = giymek
I wear               = giyerim
