Congratulations on making it to level two! Or if you decided to start here, welcome!
Let's start with adjectives!

Lesson One: Adjectives

English     Turkish
good      = iyi
bad       = kötü
delicious = lezzetli
hot       = sıcak
cold      = soğuk
smooth    = pürüzsüz
sharp     = keskin
strong    = kuvvetli
weak      = kuvvetsiz
heavy     = ağır
light     = hafif
big       = büyük
small     = küçük
empty     = boş
hungry    = aç
full      = tok
happy     = mutlu
sad       = üzgün
angry     = kızgın
tired     = yorgun
fast      = çabuk
slow      = yavaş
clean     = temız
dirty     = bulanık
young     = genç
old       = yaşlı
smart     = akıllı
handsome  = yakışıklı
ugly      = çirkin
kind      = yardımsever
simple    = sade

You've got quite a few to learn now, take your time.
But the next lesson is conjugating these so you will get more practice!
